   0.                     └─643:duf_clarify_xcmd_typed  	                     rt=int(0)
   1.                    └─ 59:duf_clarify_xcmd_full   	                     rt=int(0)
   2.                   │  72:duf_clarify_xcmd_full_wrap 	                    
   3.                   └─ 73:duf_clarify_xcmd_full_wrap 	                     rt=int(0)
   4.                  └─133:duf_clarify_opt         	                     rt=int(0)
   5.                 └─146:duf_clarify_opt_x       	                     rt=int(0)
   6.                 ┌─140:duf_clarify_opt_x       	                    
   7.                  ┌─ 84:duf_clarify_opt         	                    
   8.                   ┌─ 67:duf_clarify_xcmd_full_wrap 	                    
   9.                   │  69:duf_clarify_xcmd_full_wrap 	                    
  10.                    ┌─ 28:duf_clarify_xcmd_full   	                    
  11.                     ┌─114:duf_clarify_xcmd_typed  	                    
  12.                     └─643:duf_clarify_xcmd_typed  	                     rt=int(0)
  13.                    └─ 59:duf_clarify_xcmd_full   	                     rt=int(0)
  14.                   │  72:duf_clarify_xcmd_full_wrap 	                    
  15.                   └─ 73:duf_clarify_xcmd_full_wrap 	                     rt=int(0)
  16.                  └─133:duf_clarify_opt         	                     rt=int(0)
  17.                 └─146:duf_clarify_opt_x       	                     rt=int(0)
  18.                 ┌─140:duf_clarify_opt_x       	                    
  19.                  ┌─ 84:duf_clarify_opt         	                    
  20.                   ┌─ 67:duf_clarify_xcmd_full_wrap 	                    
  21.                   │  69:duf_clarify_xcmd_full_wrap 	                    
  22.                    ┌─ 28:duf_clarify_xcmd_full   	                    
  23.                     ┌─114:duf_clarify_xcmd_typed  	                    
  24.                     └─643:duf_clarify_xcmd_typed  	                     rt=int(0)
  25.                    └─ 59:duf_clarify_xcmd_full   	                     rt=int(0)
  26.                   │  72:duf_clarify_xcmd_full_wrap 	                    
  27.                   └─ 73:duf_clarify_xcmd_full_wrap 	                     rt=int(0)
  28.                  └─133:duf_clarify_opt         	                     rt=int(0)
  29.                 └─146:duf_clarify_opt_x       	                     rt=int(0)
  30.                 ┌─140:duf_clarify_opt_x       	                    
  31.                  ┌─ 84:duf_clarify_opt         	                    
  32.                   ┌─ 67:duf_clarify_xcmd_full_wrap 	                    
  33.                   │  69:duf_clarify_xcmd_full_wrap 	                    
  34.                    ┌─ 28:duf_clarify_xcmd_full   	                    
  35.                     ┌─114:duf_clarify_xcmd_typed  	                    
  36.                     └─643:duf_clarify_xcmd_typed  	                     rt=int(0)
